Leaflet Link,Unuseable,Date,Constituency,Party,Leader Picture included,Leader mentioned,Party Logo,"Leaflet Style (Leaflet, Letter, Magazine, Newsletter, Newspaper, CV or Survey)",Opposition leader pictured,Opposition leader mentioned,"squeeze message",Does it include a graph?
https://electionleaflets.org/leaflets/28/,,"Sunday, 08 Mar, 2014",South Derbyshire,UKIP,no,no,yes,leaflet,no,no,no,no
https://electionleaflets.org/leaflets/8719 ,,"Sunday, 08 Mar, 2013",Camberwell & Peckham,Green,no,no,yes,leaflet,no,no,no,no
https://electionleaflets.org/leaflets/8720 ,,"Sunday, 08 Mar, 2012",Welwyn Hatfield,Conservative,no,no,no,newspaper,no,no,no,no
https://electionleaflets.org/leaflets/8721 ,,09/03/2015,Maidstone and the Weald,Liberal Democrats,no,no,no,letter,no,no,no,no
https://electionleaflets.org/leaflets/8723  https://electionleaflets.org/leaflets/8722  ,,09/03/2015,Bristol West,Independent,no,no,no,leaflet,no,no,no,no
https://electionleaflets.org/leaflets/8724,,09/03/2015,Gordon,Liberal Democrats,no,no,no,letter,no,no,yes,no
https://electionleaflets.org/leaflets/8725,,09/03/2015,Gordon,Liberal Democrats,no,no,yes,newsletter,no,no,yes,yes
https://electionleaflets.org/leaflets/8727 https://electionleaflets.org/leaflets/8726,Edinburgh North and Leith - but refers to Bristol???,10/03/2015,Bristol West,Independent,no,no,no,leaflet,no,no,no,no
https://electionleaflets.org/leaflets/8728,,10/03/2015,Meriden,UKIP,no,no,yes,leaflet,yes,yes,no,no
https://electionleaflets.org/leaflets/8729,,10/03/2015,Garston and Halewood,Conservative,no,no,yes,leaflet,no,no,yes,yes
https://electionleaflets.org/leaflets/8730,,10/03/2015,Dumfries and Galloway,Labour,no,no,no,leaflet,no,no,no,no
https://electionleaflets.org/leaflets/8731,,10/03/2015,North West Leicestershire,Conservative,no,no,yes,newsletter,no,no,no,yes
https://electionleaflets.org/leaflets/8732,,10/03/2015,North West Leicestershire,Liberal Democrats,no,no,yes,leaflet,no,no,no,no
https://electionleaflets.org/leaflets/8733,,10/03/2015,Glasgow North East,Labour,no,no,yes,leaflet,no,no,yes,no
https://electionleaflets.org/leaflets/8734,,10/03/2015,"Ayr, Carrick and Cumnock",SNP,no,no,yes,leaflet,no,no,no,no
https://electionleaflets.org/leaflets/8735,,10/03/2015,"Ayr, Carrick and Cumnock",Labour,no,no,yes,leaflet,no,no,no,no
https://electionleaflets.org/leaflets/8737 https://electionleaflets.org/leaflets/8736,,10/03/2015,Edinburgh North and Leith,Labour,no,Yes (Jim Murphy),yes,newsletter,no,yes,no,no
https://electionleaflets.org/leaflets/8738,,11/03/2015,Caerphilly,UKIP,no,no,yes,leaflet,no,no,no,no
https://electionleaflets.org/leaflets/8739,,11/03/2015,Vauxhall,Green,no,no,yes,leaflet,no,no,no,no
https://electionleaflets.org/leaflets/8740,,11/03/2015,Bath,Liberal Democrats,no,no,yes,leaflet,no,no,yes,yes
https://electionleaflets.org/leaflets/8741,,11/03/2015,Bath,Labour,no,no,yes,leaflet,no,no,no,no
https://electionleaflets.org/leaflets/8742,,11/03/2015,South Ribble,UKIP,no,no,yes,leaflet,no,no,no,no
https://electionleaflets.org/leaflets/8743,,11/03/2015,Oxford West & Abingdon,Conservative,yes,yes,yes,newsletter,yes,yes,no,no
https://electionleaflets.org/leaflets/8744,,11/03/2015,North East Bedfordshire,Independent,no,no,yes,leaflet,no,yes,no,no
https://electionleaflets.org/leaflets/8745,,12/03/2015,Lewisham West & Penge,Labour,no,no,no,leaflet,no,yes,no,no
https://electionleaflets.org/leaflets/8746,,13/03/2015,Bedford,Labour,no,no,yes,leaflet,no,yes,no,yes
https://electionleaflets.org/leaflets/8747,,13/03/2015,Bedford,Labour,no,no,no,leaflet,no,no,no,no
https://electionleaflets.org/leaflets/8748,,13/03/2015,Bedford,Labour,yes,yes,yes,letter,no,yes,no,no
https://electionleaflets.org/leaflets/8749,,13/03/2015,Oxford West & Abingdon,Green,no,no,yes,leaflet,no,no,no,yes
https://electionleaflets.org/leaflets/8750,unuseable,13/03/2015,Gordon,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
https://electionleaflets.org/leaflets/8751,,13/03/2015,Gordon,Labour,no,no,yes,leaflet,no,no,no,no
https://electionleaflets.org/leaflets/8752,,13/03/2015,Gordon,Liberal Democrats,no,no,yes,leaflet,no,no,yes,no
https://electionleaflets.org/leaflets/8753,,13/03/2015,New Forest West,"UKIP
",no,no,yes,leaflet,no,no,no,no
https://electionleaflets.org/leaflets/8754,,13/03/2015,Stroud,Labour,no,no,yes,newsletter,no,yes,no,no
https://electionleaflets.org/leaflets/8755,,15/03/2015,Edinburgh South West,Labour,no,no,yes,leaflet,no,no,no,no
https://electionleaflets.org/leaflets/8756,,15/03/2015,Leeds North East,Conservative,no,no,yes,leaflet,no,no,no,no
https://electionleaflets.org/leaflets/8757,,15/03/2015,Leeds North East,Conservative,no,yes,yes,newsletter,no,yes,no,no
